Population,College_Town,Parking,Entry,Alcohol,Venue_Per_Day,Income,Stars,Reviews,Visitors,Month,Day,Start_Time,Age,Times_Per_Year,Vendors,Themed,Music
298,1,5,,1,5000,,,,775,5,3,1600,2,6,10,0,1
509,1,,20,1,2100,120000,4,43,6000,7,7,1700,8,1,30,0,1
54,0,,,0,,,5,3,,8,2,1700,3,2,4,0,1
203,1,,,1,,,3.5,4,3100,7,3,1030,4,1,23,0,1
652,1,15,5,1,,,4.1,260,1600,5,5,1100,8,1,20,1,1
479,1,,,0,,,5,1,,0,2,1100,,52,4,0,0
61,0,,,0,,,3.9,8,193,0,3,1700,2,12,8,0,0
57,0,5,65,1,4000,425000,2.5,330,5000,9,5,1400,9,1,88,0,1
2,0,,,1,,,4.7,69,223,9,8,1200,5,1,17,0,1
2718,1,10,50,1,700,150000,4,5,3000,10,7,1100,4,1,55,0,1
822,1,5.95,,1,2200,44222,4.3,477,3900,8,7,1100,7,1,54,0,1
297,1,,,1,,,4,5,583,9,5,1100,5,2,34,0,1
294,1,18,,1,700,11000,4,16,3200,8,5,1200,,1,40,0,1
300,1,,,1,,,4.6,140,270,0,3,1100,7,27,12,0,1
308,1,,8,1,1000,69000,4,17,2000,8,7,1200,6,1,50,1,1
316,1,,10,1,2300,,4,26,1300,0,6,1000,4,1,24,0,1
318,1,,,0,425,,3,15,544,0,2,1700,,150,12,0,1
345,0,8,10,1,,,4.8,5,8500,6,5,1200,8,1,13,1,1
386,1,,,1,,,4.2,233,1400,10,6,1100,3,4,20,0,1
398,1,,,1,,,4.5,7,177,4,5,1100,6,2,1,0,1
245,1,14,,1,500,,4.5,62,3000,11,3,1200,,5,41,0,0
270,1,,2.5,1,15000,,4,861,1852,10,8,1200,4,2,50,1,1
236,1,,3,1,3400,,4,35,728,9,5,1000,17,1,39,1,1
